x;y;z;Zone;batiment;Paramètres;prof moy;prof;prof h;prof b;lithologie;indices organo;PID;REMSCA N;Arsenic (As);Cadmium (Cd);Chrome (Cr);Cuivre (cu);Mercure (Hg);Nickel (Ni);Plomb (Pb);Zinc (Zn);HYDROCARBURES AROMATIQUES POLYCYCLIQUES (HAP);Naphtalène;Acénaphtylène;Acénaphtène;Fluorène;Phénanthrène;Anthracène;Fluoranthène;Pyrène;Benzo(a)anthracène;Chrysène;Benzo(b)fluoranthène;Benzo(k)fluoranthène;Benzo(a)pyrène;Dibenzo(a.h)anthracène;Benzo(g.h.i)pérylène;Indéno(1.2.3-cd)pyrène;HAP (6 Borneff) - somme;Somme HAP (VROM);HAP (EPA) - somme;COMPOSES AROMATIQUES VOLATILS (CAV - BTEX);Benzène;Toluène;Ethylbenzène;m,p-Xylène;o-Xylène;Naphtalène;Somme Xylènes;BTEX total;COMPOSES ORGANO HALOGENES VOLATILS (COHV);Chlorure de Vinyle;Dichlorométhane;Trichlorométhane;Tétrachlorométhane;Trichloroéthylène;Tétrachloroéthylène;1.1.1-Trichloroéthane;1.1.2-Trichloroéthane;1.1-Dichloroéthane;1.2-Dichloroéthane;1.1-Dichloroéthylène;cis-1.2-Dichloroéthène;Trans-1.2-Dichloroéthylène;Somme cis/trans-1.2-Dichloroéthylènes;Hexachloroéthane;1.1.1.2-Tetrachloroéthane;1.1.2.2-Tetrachloréthane;Chloroéthane;Chlorométhane;Pentachloroethane;Somme COHV;HYDROCARBURES TOTAUX (HCT);Fraction aliphatique C5-C6;Fraction aliphatique C6-C8;Fraction aliphatique C8-C10;Fraction aromatique C6-C8;Fraction aromatique C8-C10;Fraction >C6-C8;Fraction C8-C10;Fraction C5-C10;Hydrocarbures totaux C10-C40;Fraction C10-C12;Fraction C12-C16;Fraction C16-C20;Fraction C20-C24;Fraction C24-C28;Fraction C28-C32;Fraction C32-C36;Hydrocarbures > C21-C35;Fraction C36-C40;ETBE/MTBE;ETBE;MTBE;POLYCHLOROBIPHENYLES (PCB);Somme 6 PCB;Somme 7 PCB (Ballschmiter);PCB (28);PCB (52);PCB (101);PCB (118);PCB (138);PCB (153);PCB (180);Source;reference plan;Nom sondage;profondeur de ;profondeur a ;Somme des C5;Somme des C6;Somme des C7;Somme des C8;Somme des C9;Somme des C10;Cumène;m-. p- Ethyltoluène ;Mésitylène;o-Ethyltoluène;Pseudocumène;Somme des CAV;Aluminum;Acétate d'éthyle;Acétate d'isopropyle;Acétone;Méthyléthylcétone;MIBK;Tétrahydrofurane (THF);1.4-Dioxane;Diéthyléther;Diisopropyléther (DIPE);Diéthoxyméthane;Cyclohexanone;Méthanol;Éthanol;Butanol-1;Butanol-2;Somme des indices aliphatiques et aromatiques;Indice aliphatique >nC10-nC12 ;Indice aliphatique >nC12-nC14 ;Indice aliphatique >nC14-nC16 ;Indice aliphatique >nC16-nC21 ;Indice aliphatique >nC21-nC35 ;Indice aliphatique >nC35-nC40 ;Somme des indices aliphatiques ;Indice aromatique >nC10-nC12 ;Indice aromatique >nC12-nC14 ;Indice aromatique >nC14-nC16 ;Indice aromatique >nC16-nC21 ;Indice aromatique >nC21-nC35 ;Indice aromatique >nC35-nC40 ;Somme des indices aromatiques
1642803.448124;8175179.822435;0;;B93;B93-E01;0.75;0.5-1;0.5;1;Sable graveleux Marron;RAS;0.2;na;4.2;<0.1;9.3;2.2;<0.05;5.5;3.3;9;;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;n.d.;n.d.;n.d.;;<0,05;<0,05;<0,05;<0,10;<0,050;<0.10;n.d.;n.d.;;<0.02;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.10;<0.05;<0.10;<0.025;<0.025;n.d.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;<0.40;<0.20;<0.20;<0.20;<0.20;<0.40;<0.40;<1.0;<20.0;<4.0;<4.0;<2.0;<2.0;<2.0;<2.0;<2.0;;<2.0;;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642803.448124;8175179.822435;0;;B93;B93-E01;1.75;1.5-2;1.5;2;Argile compacte marron;RAS;0.2;na;8.3;0.2;32;15;0.16;19;29;54;;<0.050;<0.050;<0.050;<0.050;0.17;<0.050;0.24;0.25;0.078;0.091;0.12;<0.050;0.078;<0.050;0.068;0.074;0.58;0.799;1.17;;<0,05;<0,05;<0,05;<0,10;<0,050;<0.10;n.d.;n.d.;;<0.02;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.10;<0.05;<0.10;<0.025;<0.025;n.d.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;33.3;<4.0;<4.0;3;4;7;7.9;5.4;;3.9;;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642803.448124;8175179.822435;0;;B93;B93-E01;2.25;2-2.5;2;2.5;Argile compacte marron;RAS;0.2;na;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n.a.;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642803.448124;8175179.822435;0;;B93;B93-E01;2.625;2.25-3;2.25;3;Argile compacte marron;RAS;0.2;na;8.8;0.1;35;11;0.08;24;15;55;;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;n.d.;n.d.;n.d.;;<0,05;<0,05;<0,05;<0,10;<0,050;<0.10;n.d.;n.d.;;<0.02;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.10;<0.05;<0.10;<0.025;<0.025;n.d.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;<0.40;<0.20;<0.20;<0.20;<0.20;<0.40;<0.40;<1.0;<20.0;<4.0;<4.0;<2.0;<2.0;<2.0;<2.0;<2.0;;<2.0;;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642803.448124;8175179.822435;0;;B93;B93-E01;3.75;3.5-4;3.5;4;Argile sableuse  Graveleuse avec briques marron à verte;RAS;0.2;na;96;<0.1;130;4.3;<0.05;15;49;17;;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;n.d.;n.d.;n.d.;;<0,05;<0,05;<0,05;<0,10;<0,050;<0.10;n.d.;n.d.;;<0.02;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.10;<0.05;<0.10;<0.025;<0.025;n.d.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;<20.0;<4.0;<4.0;<2.0;<2.0;<2.0;<2.0;<2.0;;<2.0;;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642477.06121069;8175030.26017083;;Nord;B14;B14-M1;0.6;;0.2;1;Remblais limoneux compact marron foncé;;;;6;<0.5;20;8;<0.1;14;<10;38;;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;;;-/-;;<0,1;<0,1;<0,1;<0,1;<0,1;;;0;;<0.1;<0.2;<0.1;<0.1;<0.1;<0.1;<0.1;;<0.1;;<0.1;<0.1;<0.1;;;;;;;;-/-;;;;;;;;;-;<20;<20;<20;<20;;;;;<20;<20;;;;;;;;;;;;;;53534577;Sondages 53534577 vue d'ensemble;B14_M01;0.2;1;-;-;-;-;-;-;<0.1;<0.1;<0.1;<0.1;<0.1;-/-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642477.06121069;8175030.26017083;;Nord;B14;B14-M1;1.5;;1;2;Limon compact avec inclusion calcaire ;;;;8;<0.5;27;6;<0.1;11;<10;25;;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;;;-/-;;<0,1;<0,1;<0,1;<0,1;<0,1;;;0;;<0.1;<0.2;<0.1;<0.1;<0.1;<0.1;<0.1;;<0.1;;<0.1;<0.1;<0.1;;;;;;;;-/-;;;;;;;;;-;<20;<20;<20;<20;;;;;<20;<20;;;;;;;;;;;;;;53534577;Sondages 53534577 vue d'ensemble;B14_M01;1;2;-;-;-;-;-;-;<0.1;<0.1;<0.1;<0.1;<0.1;-/-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642501.37894507;8175056.46300089;;Nord;B14;B14-M2;0.525;;0.05;1;Remblais limoneux sableux noir avec débris verre et ferraille;;;;7;<1.7;25;360;0.1;30;360;560;;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;;;-/-;;<0,1;<0,1;<0,1;<0,1;<0,1;;;0;;<0.1;<0.2;<0.1;<0.1;<0.1;<0.1;<0.1;;<0.1;;<0.1;<0.1;<0.1;;;;;;;;-/-;;;;;;;;;-;140;<20;<20;<20;;;;;100;33;;;;;;;;;;;;;;53534577;Sondages 53534577 vue d'ensemble;B14_M02;0.05;1;-;-;-;-;-;-;<0.1;<0.1;<0.1;<0.1;<0.1;-/-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642501.37894507;8175056.46300089;;Nord;B14;B14-M2;1.5;;1;2;Argile sableux rouge ocre avec inclusion calcaire ;;;;4;<0.5;13;6;<0.1;6;16;8;;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;;;-/-;;<0,1;<0,1;<0,1;<0,1;<0,1;;;0;;<0.1;<0.2;<0.1;<0.1;<0.1;<0.1;<0.1;;<0.1;;<0.1;<0.1;<0.1;;;;;;;;-/-;;;;;;;;;-;<20;<20;<20;<20;;;;;<20;<20;;;;;;;;;;;;;;53534577;Sondages 53534577 vue d'ensemble;B14_M02;1;2;-;-;-;-;-;-;<0.1;<0.1;<0.1;<0.1;<0.1;-/-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642474.94047804;8175076.11512344;;Nord;B14;B14-M3;0.525;;0.05;1;Remblais limoneux compact marron foncé;;;;7;<0.5;26;6;<0.1;13;<10;26;;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;;;-/-;;<0,1;<0,1;<0,1;<0,1;<0,1;;;0;;<0.1;<0.2;<0.1;<0.1;<0.1;<0.1;<0.1;;<0.1;;<0.1;<0.1;<0.1;;;;;;;;-/-;;;;;;;;;-;<20;<20;<20;<20;;;;;<20;<20;;;;;;;;;;;;;;53534577;Sondages 53534577 vue d'ensemble;B14_M03;0.05;1;-;-;-;-;-;-;<0.1;<0.1;<0.1;<0.1;<0.1;-/-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642474.94047804;8175076.11512344;;Nord;B14;B14-M3;1.5;;1;2;Limon marron ocre avec inclusion calcaire ;;;;7;<0.5;23;4;<0.1;8;<10;14;;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;;;-/-;;<0,1;<0,1;<0,1;<0,1;<0,1;;;0;;<0.1;<0.2;<0.1;<0.1;<0.1;<0.1;<0.1;;<0.1;;<0.1;<0.1;<0.1;;;;;;;;-/-;;;;;;;;;-;<20;<20;<20;<20;;;;;<20;<20;;;;;;;;;;;;;;53534577;Sondages 53534577 vue d'ensemble;B14_M03;1;2;-;-;-;-;-;-;<0.1;<0.1;<0.1;<0.1;<0.1;-/-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642508.07103476;8175104.86283269;;Nord;B14;B14-M4;0.525;;0.05;1;Sable argileux ocre avec silex;;;;3;<0.5;7;3;<0.1;3;<10;8;;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;;;-/-;;<0,1;<0,1;<0,1;<0,1;<0,1;;;0;;<0.1;<0.2;<0.1;<0.1;<0.1;<0.1;<0.1;;<0.1;;<0.1;<0.1;<0.1;;;;;;;;-/-;;;;;;;;;-;78;<20;<20;<20;;;;;50;27;;;;;;;;;;;;;;53534577;Sondages 53534577 vue d'ensemble;B14_M04;0.05;1;-;-;-;-;-;-;<0.1;<0.1;<0.1;<0.1;<0.1;-/-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642508.07103476;8175104.86283269;;Nord;B14;B14-M4;1.5;;1;2;Argile sableux rouge ocre avec inclusion calcaire ;;;;2;<0.5;8;3;<0.1;4;<10;<5.0;;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;;;-/-;;<0,1;<0,1;<0,1;<0,1;<0,1;;;0;;<0.1;<0.2;<0.1;<0.1;<0.1;<0.1;<0.1;;<0.1;;<0.1;<0.1;<0.1;;;;;;;;-/-;;;;;;;;;-;25;<20;<20;<20;;;;;<20;<20;;;;;;;;;;;;;;53534577;Sondages 53534577 vue d'ensemble;B14_M04;1;2;-;-;-;-;-;-;<0.1;<0.1;<0.1;<0.1;<0.1;-/-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642515.42290794;8175150.29363878;;Nord;B14;B14-M5;0.525;;0.05;1;Remblais limoneux sableux marron avec silex ;;;;3;<0.5;8;5;<0.1;6;76;8;;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;;;-/-;;<0,1;<0,1;<0,1;<0,1;<0,1;;;0;;<0.1;<0.2;<0.1;<0.1;<0.1;<0.1;<0.1;;<0.1;;<0.1;<0.1;<0.1;;;;;;;;-/-;;;;;;;;;-;360;<20;<20;<20;;;;;230;120;;;;;;;;;;;;;;53534577;Sondages 53534577 vue d'ensemble;B14_M05;0.05;1;-;-;-;-;-;-;<0.1;<0.1;<0.1;<0.1;<0.1;-/-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642515.42290794;8175150.29363878;;Nord;B14;B14-M5;1.5;;1;2;Argile sableux rouge ocre avec inclusion calcaire ;;;;4;<0.5;10;5;<0.1;9;<10;8;;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;;;-/-;;<0,1;<0,1;<0,1;<0,1;<0,1;;;0;;<0.1;<0.2;<0.1;<0.1;<0.1;<0.1;<0.1;;<0.1;;<0.1;<0.1;<0.1;;;;;;;;-/-;;;;;;;;;-;<20;<20;<20;<20;;;;;<20;<20;;;;;;;;;;;;;;53534577;Sondages 53534577 vue d'ensemble;B14_M05;1;2;-;-;-;-;-;-;<0.1;<0.1;<0.1;<0.1;<0.1;-/-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642591.34513679;8175139.50146596;;Nord;B14;B14-M6;0.275;;0.05;0.5;Remblais sableux gris avec silex ;;;;3;<0.5;4;<2.0;<0.1;3;<10;6;;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;;;-/-;;<0,1;<0,1;<0,1;<0,1;<0,1;;;0;;<0.1;<0.2;<0.1;<0.1;<0.1;<0.1;<0.1;;<0.1;;<0.1;<0.1;<0.1;;;;;;;;-/-;;;;;;;;;-;420;<20;<20;<20;;;;;190;220;;;;;;;;;;;;;;53534577;Sondages 53534577 vue d'ensemble;B14_M06;0.05;0.5;-;-;-;-;-;-;<0.1;<0.1;<0.1;<0.1;<0.1;-/-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642591.34513679;8175139.50146596;;Nord;B14;B14-M6;0.65;;0.5;0.8;Sable fin ocre à rouge ;;;;<2.0;<0.5;<1.0;<2.0;<0.1;<1.0;<10;<5.0;;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;;;-/-;;<0,1;<0,1;<0,1;<0,1;<0,1;;;0;;<0.1;<0.2;<0.1;<0.1;<0.1;<0.1;<0.1;;<0.1;;<0.1;<0.1;<0.1;;;;;;;;-/-;;;;;;;;;-;<20;<20;<20;<20;;;;;<20;<20;;;;;;;;;;;;;;53534577;Sondages 53534577 vue d'ensemble;B14_M06;0.5;0.8;-;-;-;-;-;-;<0.1;<0.1;<0.1;<0.1;<0.1;-/-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642642.52548473;8175136.48531286;;Nord;B14;B14-M7;0.125;;0.05;0.2;Remblais sableux verdâtre avec silex ;;;;3;<0.5;5;5;0.2;4;<10;10;;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;;;-/-;;<0,1;<0,1;<0,1;<0,1;<0,1;;;0;;<0.1;<0.2;<0.1;<0.1;<0.1;<0.1;<0.1;;<0.1;;<0.1;<0.1;<0.1;;;;;;;;-/-;;;;;;;;;-;110;<20;<20;<20;;;;;56;48;;;;;;;;;;;;;;53534577;Sondages 53534577 vue d'ensemble;B14_M07;0.05;0.2;-;-;-;-;-;-;<0.1;<0.1;<0.1;<0.1;<0.1;-/-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642642.52548473;8175136.48531286;;Nord;B14;B14-M7;0.3;;0.2;0.4;Sable ocre avec silex ;;;;3;<0.5;7;4;<0.1;6;<10;12;;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;;;-/-;;<0,1;<0,1;<0,1;<0,1;<0,1;;;0;;<0.1;<0.2;<0.1;<0.1;<0.1;<0.1;<0.1;;<0.1;;<0.1;<0.1;<0.1;;;;;;;;-/-;;;;;;;;;-;<20;<20;<20;<20;;;;;<20;<20;;;;;;;;;;;;;;53534577;Sondages 53534577 vue d'ensemble;B14_M07;0.2;0.4;-;-;-;-;-;-;<0.1;<0.1;<0.1;<0.1;<0.1;-/-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642654.7786067;8175113.29863589;;Nord;B14;B14-M8;0.6;;0.2;1;Remblais limoneux argileux marron ocre avec blox machefer et débris végétaux ;;;;16;<0.5;35;7;<0.1;8;11;20;;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;;;-/-;;<0,1;<0,1;<0,1;<0,1;<0,1;;;0;;<0.1;<0.2;<0.1;<0.1;<0.1;<0.1;<0.1;;<0.1;;<0.1;<0.1;<0.1;;;;;;;;-/-;;;;;;;;;-;<20;<20;<20;<20;;;;;<20;<20;;;;;;;;;;;;;;53534577;Sondages 53534577 vue d'ensemble;B14_M08;0.2;1;-;-;-;-;-;-;<0.1;<0.1;<0.1;<0.1;<0.1;-/-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642654.7786067;8175113.29863589;;Nord;B14;B14-M8;1.4;;1;1.8;Argile sableux compact ocre à rouge ;;;;17;<0.5;21;2;<0.1;4;<10;<5.0;;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;;;-/-;;<0,1;<0,1;<0,1;<0,1;<0,1;;;0;;<0.1;<0.2;<0.1;<0.1;<0.1;<0.1;<0.1;;<0.1;;<0.1;<0.1;<0.1;;;;;;;;-/-;;;;;;;;;-;<20;<20;<20;<20;;;;;<20;<20;;;;;;;;;;;;;;53534577;Sondages 53534577 vue d'ensemble;B14_M08;1;1.8;-;-;-;-;-;-;<0.1;<0.1;<0.1;<0.1;<0.1;-/-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642652.13947274;8175068.62186808;;Nord;B14;B14-M9;0.6;;0.2;1;Argile rouge ocre avec inclusion calcaire ;;;;14;<0.5;44;4;<0.1;7;<10;8;;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;;;-/-;;<0,1;<0,1;<0,1;<0,1;<0,1;;;0;;<0.1;<0.2;<0.1;<0.1;<0.1;<0.1;<0.1;;<0.1;;<0.1;<0.1;<0.1;;;;;;;;-/-;;;;;;;;;-;<20;<20;<20;<20;;;;;<20;<20;;;;;;;;;;;;;;53534577;Sondages 53534577 vue d'ensemble;B14_M09;0.2;1;-;-;-;-;-;-;<0.1;<0.1;<0.1;<0.1;<0.1;-/-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642652.13947274;8175068.62186808;;Nord;B14;B14-M9;1.3;;1;1.6;Argile sableux compact marron claire à ocre avce inclusion calcaire ;;;;4;<0.5;16;<2.0;<0.1;3;<10;<5.0;;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;;;-/-;;<0,1;<0,1;<0,1;<0,1;<0,1;;;0;;<0.1;<0.2;<0.1;<0.1;<0.1;<0.1;<0.1;;<0.1;;<0.1;<0.1;<0.1;;;;;;;;-/-;;;;;;;;;-;<20;<20;<20;<20;;;;;<20;<20;;;;;;;;;;;;;;53534577;Sondages 53534577 vue d'ensemble;B14_M09;1;1.6;-;-;-;-;-;-;<0.1;<0.1;<0.1;<0.1;<0.1;-/-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642648.93481007;8175027.14976294;;Nord;B14;B14-M10;0.3;;0.2;0.4;Sable ocre à rouge ;;;;8;<0.5;22;3;<0.1;5;<10;6;;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;;;-/-;;<0,1;<0,1;<0,1;<0,1;<0,1;;;0;;<0.1;<0.2;<0.1;<0.1;<0.1;<0.1;<0.1;;<0.1;;<0.1;<0.1;<0.1;;;;;;;;-/-;;;;;;;;;-;<20;<20;<20;<20;;;;;<20;<20;;;;;;;;;;;;;;53534577;Sondages 53534577 vue d'ensemble;B14_M10;0.2;0.4;-;-;-;-;-;-;<0.1;<0.1;<0.1;<0.1;<0.1;-/-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642648.93481007;8175027.14976294;;Nord;B14;B14-M10;0.7;;0.4;1;Argile sableux marron ocre à rouge avec inclusion calcaire;;;;7;<0.5;31;4;<0.1;7;<10;10;;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;;;-/-;;<0,1;<0,1;<0,1;<0,1;<0,1;;;0;;<0.1;<0.2;<0.1;<0.1;<0.1;<0.1;<0.1;;<0.1;;<0.1;<0.1;<0.1;;;;;;;;-/-;;;;;;;;;-;<20;<20;<20;<20;;;;;<20;<20;;;;;;;;;;;;;;53534577;Sondages 53534577 vue d'ensemble;B14_M10;0.4;1;-;-;-;-;-;-;<0.1;<0.1;<0.1;<0.1;<0.1;-/-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642606.89717622;8175005.61254471;;Nord;B14;B14-M11;0.375;;0.05;0.7;Remblais sablo argileux marron ocre à rouge ;;;;5;<0.5;18;2;<0.1;4;<10;5;;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;;;-/-;;<0,1;<0,1;<0,1;<0,1;<0,1;;;0;;<0.1;<0.2;<0.1;<0.1;<0.1;<0.1;<0.1;;<0.1;;<0.1;<0.1;<0.1;;;;;;;;-/-;;;;;;;;;-;<20;<20;<20;<20;;;;;<20;<20;;;;;;;;;;;;;;53534577;Sondages 53534577 vue d'ensemble;B14_M11;0.05;0.7;-;-;-;-;-;-;<0.1;<0.1;<0.1;<0.1;<0.1;-/-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642606.89717622;8175005.61254471;;Nord;B14;B14-M11;0.95;;0.7;1.2;Argile sableux marron ocre à rouge avec inclusion calcaire;;;;69;<0.5;77;5;<0.1;26;23;6;;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;;;-/-;;<0,1;<0,1;<0,1;<0,1;<0,1;;;0;;<0.1;<0.2;<0.1;<0.1;<0.1;<0.1;<0.1;;<0.1;;<0.1;<0.1;<0.1;;;;;;;;-/-;;;;;;;;;-;<20;<20;<20;<20;;;;;<20;<20;;;;;;;;;;;;;;53534577;Sondages 53534577 vue d'ensemble;B14_M11;0.7;1.2;-;-;-;-;-;-;<0.1;<0.1;<0.1;<0.1;<0.1;-/-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642544.78327329;8175010.70230307;;;B14;B14-M12;0.225;;0.05;0.4;Remblais sableux avec silex marron foncé ( couche sous enrobé );;;;4;<0.5;15;5;<0.1;5;<10;15;;0.42;<0.05;1.2;0.8;0.08;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;;;2.5;;<0,1;<0,1;<0,1;<0,1;<0,1;;;0;;<0.1;<0.2;<0.1;<0.1;<0.1;<0.1;<0.1;;<0.1;;<0.1;<0.1;<0.1;;;;;;;;-/-;;;;;;;;;-;1300;<20;<20;30;;;;;790;550;;;;;;;;;;;;;;53534577;Sondages 53534577 vue d'ensemble;B14_M12;0.05;0.4;-;-;-;-;-;-;<0.1;<0.1;<0.1;<0.1;<0.1;-/-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
